iter	Passed	Remaining
0	64	64258
1	65	32447
2	66	21974
3	66	16676
4	67	13475
5	68	11338
6	69	9820
7	70	8700
8	70	7815
9	71	7116
10	72	6540
11	73	6061
12	74	5650
13	75	5290
14	75	4978
15	76	4711
16	77	4472
17	78	4265
18	78	4076
19	79	3900
20	80	3743
21	80	3600
22	81	3468
23	82	3347
24	82	3235
25	83	3132
26	84	3036
27	84	2949
28	85	2865
29	86	2785
30	86	2713
31	87	2644
32	88	2579
33	88	2519
34	89	2463
35	89	2409
36	90	2357
37	91	2309
38	91	2262
39	92	2218
40	93	2177
41	93	2138
42	94	2100
43	94	2063
44	95	2029
45	96	1996
46	96	1964
47	97	1933
48	98	1903
49	98	1875
50	99	1848
51	99	1821
52	100	1795
53	101	1769
54	101	1746
55	102	1723
56	102	1700
57	103	1678
58	103	1658
59	104	1638
60	105	1618
61	105	1600
62	106	1581
63	106	1563
64	107	1546
65	108	1529
66	108	1513
67	109	1497
68	109	1482
69	110	1468
70	111	1454
71	111	1441
72	112	1428
73	113	1415
74	113	1402
75	114	1390
76	114	1378
77	115	1366
78	116	1355
79	116	1344
80	117	1333
81	118	1322
82	118	1311
83	119	1301
84	119	1291
85	120	1281
86	121	1272
87	121	1262
88	122	1253
89	123	1244
90	123	1235
91	124	1227
92	124	1218
93	125	1210
94	126	1201
95	126	1193
96	127	1186
97	128	1178
98	128	1170
99	129	1163
100	129	1156
101	130	1149
102	131	1141
103	131	1135
104	132	1128
105	133	1121
106	133	1115
107	134	1108
108	134	1102
109	135	1097
110	136	1091
111	136	1085
112	137	1079
113	138	1073
114	138	1068
115	139	1062
116	140	1056
117	140	1051
118	141	1046
119	141	1041
120	142	1035
121	143	1031
122	143	1025
123	144	1020
124	145	1015
125	145	1011
126	146	1006
127	146	1001
128	147	996
129	148	991
130	148	987
131	149	982
132	150	978
133	150	974
134	151	969
135	151	965
136	152	961
137	153	956
138	153	953
139	154	949
140	155	945
141	155	941
142	156	937
143	157	933
144	157	929
145	158	925
146	158	922
147	159	918
148	160	914
149	160	911
150	161	907
151	162	904
152	162	900
153	163	897
154	164	894
155	164	891
156	165	887
157	165	884
158	166	881
159	167	877
160	167	874
161	168	871
162	169	868
163	169	865
164	170	862
165	171	859
166	171	857
167	172	854
168	173	851
169	174	849
170	174	846
171	175	844
172	176	841
173	176	838
174	177	836
175	178	833
176	178	831
177	179	828
178	180	826
179	181	826
180	182	823
181	182	821
182	183	819
183	184	816
184	184	814
185	185	811
186	186	809
187	186	807
188	187	804
189	188	802
190	188	799
191	189	797
192	190	795
193	190	792
194	191	791
195	192	790
196	193	788
197	194	787
198	195	785
199	196	784
200	197	783
201	197	781
202	198	780
203	200	780
204	200	779
205	201	778
206	202	777
207	203	775
208	204	775
209	205	773
210	206	772
211	207	769
212	208	768
213	208	766
214	209	764
215	210	762
216	210	760
217	211	757
218	211	755
219	212	753
220	213	751
221	213	748
222	214	746
223	214	744
224	215	742
225	216	740
226	216	738
227	217	736
228	218	734
229	218	731
230	219	729
231	219	727
232	220	725
233	221	723
234	221	721
235	222	719
236	222	717
237	223	715
238	224	713
239	224	711
240	225	709
241	225	707
242	226	705
243	226	703
244	227	701
245	228	699
246	228	697
247	229	695
248	229	693
249	230	691
250	231	689
251	231	687
252	232	685
253	232	684
254	233	682
255	234	680
256	234	678
257	235	676
258	236	675
259	236	673
260	237	671
261	237	669
262	238	668
263	239	666
264	239	664
265	240	663
